address,number,municipality,latitude,longitude,id,postal_code,province
Place Saint - Lambert,0,Liège,50.7507212,5.9339674,71.0,4020.0,Liège
Rue du Doyard,0,Lierneux,50.2850428,5.7859495,72.0,4990.0,Liège
Fond Saint Servais,0,Liège,50.6467651,5.5709867,73.0,4000.0,Liège
Rue des Prémontrès,12,Liège,50.6380469,5.5740461,74.0,4020.0,Liège
Rue du Parc,1,Jehay,50.57723315,5.3230382796615805,76.0,4540.0,Liège
Place de la République française ,0,Liège,50.6432881,5.5721065,78.0,4000.0,Liège
Rue Darchis,33,Liège,50.63699855,5.565328490517242,79.0,4020.0,Liège
Schumanplein,11,Brussel,50.8428283,4.3844261,86.0,1040.0,Bruxelles-Brussel
Uitbreidingstraat,0,Berchem,51.2033155,4.4367162,87.0,2600.0,Antwerpen
Peperstraat,2,TIENEN,50.8064589,4.937612,95.0,3300.0,Vlaams-Brabant
Graafschap - Jettelaan,2,Brussel,50.8830136,4.3331888,96.0,1090.0,Bruxelles-Brussel
Rue Pietro Ferrero,5,ARLON,49.6747283,5.8190149,100.0,6700.0,Luxembourg
Tweestationsstraat,80,Brussel,50.831942299999994,4.328980253636651,101.0,1070.0,Bruxelles-Brussel
Nieuwe Weg ,1,ZWIJNDRECHT,51.23432845000001,4.320172570867044,102.0,2070.0,Antwerpen
Gemeenteplein,1,Voeren  s Gravenvoeren,50.759496850000005,5.759718511368475,115.0,3798.0,Limburg
Remersdaal-Dorp,1,Remersdaal,50.731173,5.880948698706895,116.0,3791.0,Limburg
Sint-Pieterstraat ,20,Sint-Pieters-Voeren,50.73746745,5.823412607364022,117.0,3792.0,Limburg
Kerkplein,1,Moelingen,50.7570557,5.7106173,118.0,3790.0,Limburg
Gieveldstraat,0,Teuven,50.7572118,5.8788335,119.0,3793.0,Limburg
Kerkstraat,1,VOEREN,50.74940645,5.812551332425043,120.0,3790.0,Limburg
Brikkenovenstraat,48,Genk,50.97965045,5.472422009968787,170.0,3600.0,Limburg
Rue de l église,0,Bruxelles,50.7442536,4.3487694,214.0,1150.0,Bruxelles-Brussel
Rue des Croisiers,15,Liège,50.63892735,5.574213550178143,219.0,4000.0,Liège
Rue de l école technique ,0,Herstal,50.671444,5.6407524,220.0,4040.0,Liège
Rue Paul d Andrimont,24,Micheroux,50.62311975,5.7113776166050085,222.0,4630.0,Liège
Bd. Léon Philippet,83,Liège,50.65176945,5.557592916525259,223.0,4000.0,Liège
Rue du Commerce,14,Seraing,50.6129088,5.507468721605432,224.0,4100.0,Liège
Rue Peetermans,80,Seraing,50.610863699999996,5.50976586916461,225.0,4100.0,Liège
Rue de Huy,123,Waremme,50.6870991,5.250619057379783,228.0,4300.0,Liège
Rue de Sélys,35,Waremme,50.69256235,5.245321200000003,229.0,4300.0,Liège
Rue St. Pierre,48,Huy,50.523112499999996,5.236833411646686,230.0,4500.0,Liège
Avenue Delchambre,6,Huy,50.52185595,5.2416891718267635,231.0,4500.0,Liège
Rue Lambert Marlet,23,Liège,50.68651545,5.721879357577733,232.0,4020.0,Liège
Rue Aux Laines,69,Verviers,50.5894074,5.852703571130546,233.0,4800.0,Liège
Route de Botrange,131,Robertville,50.4866857,6.1096848,238.0,4950.0,Liège
Avenue Montesquieu,6,Jemeppe-sur-Meuse,50.620001099999996,5.51615631258023,240.0,4101.0,Liège
Rue Grand Puits,0,Herstal,50.671284,5.6391696,242.0,4040.0,Liège
Da Vincilaan,0,Zaventem,50.8943786,4.4649361,275.0,1930.0,Vlaams-Brabant
Adriaan Brouwerstraat,24,Antwerpen,51.22736125,4.404384087968529,277.0,2000.0,Antwerpen
Kempenarestraat,53,Sint-Katelijne-Waver,51.0636565,4.519447,282.0,2860.0,Antwerpen
Koninginnelaan,1,Oostende,51.1875814,2.8184146,310.0,8400.0,West-Vlaanderen
Northlaan,13,Oostende,51.21729285,2.8880359339808908,311.0,8400.0,West-Vlaanderen
