id,address,number,postal_code,municipality,province
13.0,Blvd. Fr. Roosevelt,24.0,7060.0,SOIGNIES,Hainaut
70.0,Ch. De Wégimont,76.0,4630.0,Ayeneux,Liège
71.0,Place Saint - Lambert,,4020.0,Liège,Liège
72.0,Rue du Doyard,,4990.0,Lierneux,Liège
73.0,Fond Saint Servais,,4000.0,Liège,Liège
74.0,Rue des Prémontrès,12.0,4020.0,Liège,Liège
75.0,Route de Bastogne,1.0,4920.0,Harzé,Liège
76.0,Rue du Parc,1.0,4540.0,Jehay,Liège
77.0,Blvd. De la Constitution,19.0,4020.0,Liège,Liège
78.0,Place de la République française ,,4000.0,Liège,Liège
79.0,Rue Darchis,33.0,4020.0,Liège,Liège
86.0,Schumanplein,11.0,1040.0,Brussel,Bruxelles-Brussel
87.0,Uitbreidingstraat,,2600.0,Berchem,Antwerpen
95.0,Peperstraat,2.0,3300.0,TIENEN,Vlaams-Brabant
96.0,Graafschap - Jettelaan,2.0,1090.0,Brussel,Bruxelles-Brussel
97.0,Sint-Pieterskerstraat,,1090.0,Brussel,Bruxelles-Brussel
98.0,Wemmelsestweg,100.0,1090.0,Brussel,Bruxelles-Brussel
100.0,Rue Pietro Ferrero,5.0,6700.0,ARLON,Luxembourg
101.0,Tweestationsstraat,80.0,1070.0,Brussel,Bruxelles-Brussel
102.0,Nieuwe Weg ,1.0,2070.0,ZWIJNDRECHT,Antwerpen
111.0,Hermeslaan,2.0,1831.0,MachelenBt),Vlaams-Brabant
115.0,Gemeenteplein,1.0,3798.0,Voeren  s Gravenvoeren,Limburg
116.0,Remersdaal-Dorp,1.0,3791.0,Remersdaal,Limburg
117.0,Sint-Pieterstraat ,20.0,3792.0,Sint-Pieters-Voeren,Limburg
118.0,Kerkplein,1.0,3790.0,Moelingen,Limburg
119.0,Gieveldstraat,,3793.0,Teuven,Limburg
120.0,Kerkstraat,1.0,3790.0,VOEREN,Limburg
167.0,Vanhalstraat,1.0,1500.0,Halle,Vlaams-Brabant
170.0,Brikkenovenstraat,48.0,3600.0,Genk,Limburg
214.0,Rue de l église,,1150.0,Bruxelles,Bruxelles-Brussel
218.0,Cours des mineurs,,4000.0,Liège,Liège
219.0,Rue des Croisiers,15.0,4000.0,Liège,Liège
220.0,Rue de l école technique ,,4040.0,Herstal,Liège
221.0,Rue de Wallonie,30.0,4460.0,Bierset,Liège
222.0,Rue Paul d Andrimont,24.0,4630.0,Micheroux,Liège
223.0,Bd. Léon Philippet,83.0,4000.0,Liège,Liège
224.0,Rue du Commerce,14.0,4100.0,Seraing,Liège
225.0,Rue Peetermans,80.0,4100.0,Seraing,Liège
226.0,Rue J. Stassart,15.0,4367.0,Crisnée,Liège
227.0,Route de Dinant,119.0,4020.0,Liège,Liège
228.0,Rue de Huy,123.0,4300.0,Waremme,Liège
229.0,Rue de Sélys,35.0,4300.0,Waremme,Liège
230.0,Rue St. Pierre,48.0,4500.0,Huy,Liège
231.0,Avenue Delchambre,6.0,4500.0,Huy,Liège
232.0,Rue Lambert Marlet,23.0,4020.0,Liège,Liège
233.0,Rue Aux Laines,69.0,4800.0,Verviers,Liège
234.0,Rue av. Peltzer,40.0,4020.0,Liège,Liège
235.0,Route du Canada,157.0,4910.0,La Reid,Liège
238.0,Route de Botrange,131.0,4950.0,Robertville,Liège
239.0,Grand Route,317.0,4400.0,,Liège
240.0,Avenue Montesquieu,6.0,4101.0,Jemeppe-sur-Meuse,Liège
242.0,Rue Grand Puits,,4040.0,Herstal,Liège
259.0,Rue de la Bouviere,1.0,4190.0,Vieuxville,Liège
275.0,Da Vincilaan,,1930.0,Zaventem,Vlaams-Brabant
277.0,Adriaan Brouwerstraat,24.0,2000.0,Antwerpen,Antwerpen
282.0,Kempenarestraat,53.0,2860.0,Sint-Katelijne-Waver,Antwerpen
310.0,Koninginnelaan,1.0,8400.0,Oostende,West-Vlaanderen
311.0,Northlaan,13.0,8400.0,Oostende,West-Vlaanderen
312.0,Kursaal - Oosthelling,12.0,8400.0,Oostende,West-Vlaanderen
313.0,Leopold Van Tyghemlaan,62.0,8400.0,Oostende,West-Vlaanderen
