id,address,number,municipality,latitude,longitude,postal_code,province
13.0,Blvd. Fr. Roosevelt,24,SOIGNIES,,,7060.0,Hainaut
70.0,Ch. De Wégimont,76,Ayeneux,,,4630.0,Liège
71.0,Place Saint - Lambert,0,Liège,50.7507212,5.9339674,4020.0,Liège
72.0,Rue du Doyard,0,Lierneux,50.2850428,5.7859495,4990.0,Liège
73.0,Fond Saint Servais,0,Liège,50.6467651,5.5709867,4000.0,Liège
74.0,Rue des Prémontrès,12,Liège,50.6380469,5.5740461,4020.0,Liège
75.0,Route de Bastogne,1,Harzé,,,4920.0,Liège
76.0,Rue du Parc,1,Jehay,50.57723315,5.3230382796615805,4540.0,Liège
77.0,Blvd. De la Constitution,19,Liège,,,4020.0,Liège
78.0,Place de la République française ,0,Liège,50.6432881,5.5721065,4000.0,Liège
79.0,Rue Darchis,33,Liège,50.63699855,5.565328490517242,4020.0,Liège
86.0,Schumanplein,11,Brussel,50.8428283,4.3844261,1040.0,Bruxelles-Brussel
87.0,Uitbreidingstraat,0,Berchem,51.2033155,4.4367162,2600.0,Antwerpen
95.0,Peperstraat,2,TIENEN,50.8064589,4.937612,3300.0,Vlaams-Brabant
96.0,Graafschap - Jettelaan,2,Brussel,50.8830136,4.3331888,1090.0,Bruxelles-Brussel
97.0,Sint-Pieterskerstraat,0,Brussel,,,1090.0,Bruxelles-Brussel
98.0,Wemmelsestweg,100,Brussel,,,1090.0,Bruxelles-Brussel
100.0,Rue Pietro Ferrero,5,ARLON,49.6747283,5.8190149,6700.0,Luxembourg
101.0,Tweestationsstraat,80,Brussel,50.831942299999994,4.328980253636651,1070.0,Bruxelles-Brussel
102.0,Nieuwe Weg ,1,ZWIJNDRECHT,51.23432845000001,4.320172570867044,2070.0,Antwerpen
111.0,Hermeslaan,2,MachelenBt),,,1831.0,Vlaams-Brabant
115.0,Gemeenteplein,1,Voeren  s Gravenvoeren,50.759496850000005,5.759718511368475,3798.0,Limburg
116.0,Remersdaal-Dorp,1,Remersdaal,50.731173,5.880948698706895,3791.0,Limburg
117.0,Sint-Pieterstraat ,20,Sint-Pieters-Voeren,50.73746745,5.823412607364022,3792.0,Limburg
